ID,Name,Type 1,Type 2,HP,Attack,Defense,Speed
114,Tangela,Grass,,65,55,115,60
115,Kangaskhan,Normal,,105,95,80,90
115,KangaskhanMega Kangaskhan,Normal,,105,125,100,100
116,Horsea,Water,,30,40,70,60
117,Seadra,Water,,55,65,95,85
118,Goldeen,Water,,45,67,60,63
119,Seaking,Water,,80,92,65,68
120,Staryu,Water,,30,45,55,85
121,Starmie,Water,Psychic,60,75,85,115
122,Mr. Mime,Psychic,Fairy,40,45,65,90
123,Scyther,Bug,Flying,70,110,80,105
124,Jynx,Ice,Psychic,65,50,35,95
125,Electabuzz,Electric,,65,83,57,105
126,Magmar,Fire,,65,95,57,93
127,Pinsir,Bug,,65,125,100,85
127,PinsirMega Pinsir,Bug,Flying,65,155,120,105
128,Tauros,Normal,,75,100,95,110
129,Magikarp,Water,,20,10,55,80
130,Gyarados,Water,Flying,95,125,79,81
130,GyaradosMega Gyarados,Water,Dark,95,155,109,81
131,Lapras,Water,Ice,130,85,80,60
132,Ditto,Normal,,48,48,48,48
133,Eevee,Normal,,55,55,50,55
134,Vaporeon,Water,,130,65,60,65
135,Jolteon,Electric,,65,65,60,130
136,Flareon,Fire,,65,130,60,65
137,Porygon,Normal,,65,60,70,40
138,Omanyte,Rock,Water,35,40,100,35
139,Omastar,Rock,Water,70,60,125,55
140,Kabuto,Rock,Water,30,80,90,55
141,Kabutops,Rock,Water,60,115,105,80
142,Aerodactyl,Rock,Flying,80,105,65,130
142,AerodactylMega Aerodactyl,Rock,Flying,80,135,85,150
143,Snorlax,Normal,,160,110,65,30
144,Articuno,Ice,Flying,90,85,100,85
145,Zapdos,Electric,Flying,90,90,85,100
146,Moltres,Fire,Flying,90,100,90,90
147,Dratini,Dragon,,41,64,45,50
148,Dragonair,Dragon,,61,84,65,70
149,Dragonite,Dragon,Flying,91,134,95,80
150,Mewtwo,Psychic,,106,110,90,130
150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,130
150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,140
151,Mew,Psychic,,100,100,100,100
152,Chikorita,Grass,,45,49,65,45
153,Bayleef,Grass,,60,62,80,60
154,Meganium,Grass,,80,82,100,80
155,Cyndaquil,Fire,,39,52,43,65
156,Quilava,Fire,,58,64,58,80
157,Typhlosion,Fire,,78,84,78,100
158,Totodile,Water,,50,65,64,43
159,Croconaw,Water,,65,80,80,58
160,Feraligatr,Water,,85,105,100,78
161,Sentret,Normal,,35,46,34,20
162,Furret,Normal,,85,76,64,90
163,Hoothoot,Normal,Flying,60,30,30,50
164,Noctowl,Normal,Flying,100,50,50,70
165,Ledyba,Bug,Flying,40,20,30,55
166,Ledian,Bug,Flying,55,35,50,85
167,Spinarak,Bug,Poison,40,60,40,30
168,Ariados,Bug,Poison,70,90,70,40
169,Crobat,Poison,Flying,85,90,80,130
170,Chinchou,Water,Electric,75,38,38,67
171,Lanturn,Water,Electric,125,58,58,67
172,Pichu,Electric,,20,40,15,60
173,Cleffa,Fairy,,50,25,28,15
174,Igglybuff,Normal,Fairy,90,30,15,15
175,Togepi,Fairy,,35,20,65,20
176,Togetic,Fairy,Flying,55,40,85,40
177,Natu,Psychic,Flying,40,50,45,70
178,Xatu,Psychic,Flying,65,75,70,95
179,Mareep,Electric,,55,40,40,35
180,Flaaffy,Electric,,70,55,55,45
181,Ampharos,Electric,,90,75,85,55
181,AmpharosMega Ampharos,Electric,Dragon,90,95,105,45
182,Bellossom,Grass,,75,80,95,50
183,Marill,Water,Fairy,70,20,50,40
184,Azumarill,Water,Fairy,100,50,80,50
185,Sudowoodo,Rock,,70,100,115,30
186,Politoed,Water,,90,75,75,70
187,Hoppip,Grass,Flying,35,35,40,50
188,Skiploom,Grass,Flying,55,45,50,80
189,Jumpluff,Grass,Flying,75,55,70,110
190,Aipom,Normal,,55,70,55,85
191,Sunkern,Grass,,30,30,30,30
192,Sunflora,Grass,,75,75,55,30
193,Yanma,Bug,Flying,65,65,45,95
194,Wooper,Water,Ground,55,45,45,15
195,Quagsire,Water,Ground,95,85,85,35
196,Espeon,Psychic,,65,65,60,110
197,Umbreon,Dark,,95,65,110,65
198,Murkrow,Dark,Flying,60,85,42,91
199,Slowking,Water,Psychic,95,75,80,30
200,Misdreavus,Ghost,,60,60,60,85
201,Unown,Psychic,,48,72,48,48
202,Wobbuffet,Psychic,,190,33,58,33
203,Girafarig,Normal,Psychic,70,80,65,85
204,Pineco,Bug,,50,65,90,15
205,Forretress,Bug,Steel,75,90,140,40
206,Dunsparce,Normal,,100,70,70,45
207,Gligar,Ground,Flying,65,75,105,85
208,Steelix,Steel,Ground,75,85,200,30
208,SteelixMega Steelix,Steel,Ground,75,125,230,30
209,Snubbull,Fairy,,60,80,50,30
210,Granbull,Fairy,,90,120,75,45
211,Qwilfish,Water,Poison,65,95,75,85
212,Scizor,Bug,Steel,70,130,100,65
212,ScizorMega Scizor,Bug,Steel,70,150,140,75
213,Shuckle,Bug,Rock,20,10,230,5
214,Heracross,Bug,Fighting,80,125,75,85
214,HeracrossMega Heracross,Bug,Fighting,80,185,115,75
215,Sneasel,Dark,Ice,55,95,55,115
216,Teddiursa,Normal,,60,80,50,40
217,Ursaring,Normal,,90,130,75,55
218,Slugma,Fire,,40,40,40,20
219,Magcargo,Fire,Rock,50,50,120,30
220,Swinub,Ice,Ground,50,50,40,50
221,Piloswine,Ice,Ground,100,100,80,50
222,Corsola,Water,Rock,55,55,85,35
223,Remoraid,Water,,35,65,35,65
224,Octillery,Water,,75,105,75,45
225,Delibird,Ice,Flying,45,55,45,75
226,Mantine,Water,Flying,65,40,70,70
227,Skarmory,Steel,Flying,65,80,140,70
228,Houndour,Dark,Fire,45,60,30,65
229,Houndoom,Dark,Fire,75,90,50,95
229,HoundoomMega Houndoom,Dark,Fire,75,90,90,115
230,Kingdra,Water,Dragon,75,95,95,85
231,Phanpy,Ground,,90,60,60,40
232,Donphan,Ground,,90,120,120,50
233,Porygon2,Normal,,85,80,90,60
234,Stantler,Normal,,73,95,62,85
235,Smeargle,Normal,,55,20,35,75
236,Tyrogue,Fighting,,35,35,35,35
237,Hitmontop,Fighting,,50,95,95,70
238,Smoochum,Ice,Psychic,45,30,15,65
239,Elekid,Electric,,45,63,37,95
240,Magby,Fire,,45,75,37,83
241,Miltank,Normal,,95,80,105,100
242,Blissey,Normal,,255,10,10,55
243,Raikou,Electric,,90,85,75,115
244,Entei,Fire,,115,115,85,100
245,Suicune,Water,,100,75,115,85
246,Larvitar,Rock,Ground,50,64,50,41
247,Pupitar,Rock,Ground,70,84,70,51
248,Tyranitar,Rock,Dark,100,134,110,61
248,TyranitarMega Tyranitar,Rock,Dark,100,164,150,71
249,Lugia,Psychic,Flying,106,90,130,110
250,Ho-oh,Fire,Flying,106,130,90,90
251,Celebi,Psychic,Grass,100,100,100,100
252,Treecko,Grass,,40,45,35,70
253,Grovyle,Grass,,50,65,45,95
254,Sceptile,Grass,,70,85,65,120
254,SceptileMega Sceptile,Grass,Dragon,70,110,75,145
255,Torchic,Fire,,45,60,40,45
256,Combusken,Fire,Fighting,60,85,60,55
257,Blaziken,Fire,Fighting,80,120,70,80
257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,100
258,Mudkip,Water,,50,70,50,40
259,Marshtomp,Water,Ground,70,85,70,50
260,Swampert,Water,Ground,100,110,90,60
260,SwampertMega Swampert,Water,Ground,100,150,110,70
261,Poochyena,Dark,,35,55,35,35
262,Mightyena,Dark,,70,90,70,70
263,Zigzagoon,Normal,,38,30,41,60
264,Linoone,Normal,,78,70,61,100
265,Wurmple,Bug,,45,45,35,20
266,Silcoon,Bug,,50,35,55,15
267,Beautifly,Bug,Flying,60,70,50,65
268,Cascoon,Bug,,50,35,55,15
269,Dustox,Bug,Poison,60,50,70,65
270,Lotad,Water,Grass,40,30,30,30
271,Lombre,Water,Grass,60,50,50,50
272,Ludicolo,Water,Grass,80,70,70,70
273,Seedot,Grass,,40,40,50,30
274,Nuzleaf,Grass,Dark,70,70,40,60
275,Shiftry,Grass,Dark,90,100,60,80
276,Taillow,Normal,Flying,40,55,30,85
277,Swellow,Normal,Flying,60,85,60,125
278,Wingull,Water,Flying,40,30,30,85
279,Pelipper,Water,Flying,60,50,100,65
280,Ralts,Psychic,Fairy,28,25,25,40
281,Kirlia,Psychic,Fairy,38,35,35,50
282,Gardevoir,Psychic,Fairy,68,65,65,80
282,GardevoirMega Gardevoir,Psychic,Fairy,68,85,65,100
283,Surskit,Bug,Water,40,30,32,65
284,Masquerain,Bug,Flying,70,60,62,60
285,Shroomish,Grass,,60,40,60,35
286,Breloom,Grass,Fighting,60,130,80,70
287,Slakoth,Normal,,60,60,60,30
288,Vigoroth,Normal,,80,80,80,90
289,Slaking,Normal,,150,160,100,100
290,Nincada,Bug,Ground,31,45,90,40
291,Ninjask,Bug,Flying,61,90,45,160
292,Shedinja,Bug,Ghost,1,90,45,40
293,Whismur,Normal,,64,51,23,28
294,Loudred,Normal,,84,71,43,48
295,Exploud,Normal,,104,91,63,68
296,Makuhita,Fighting,,72,60,30,25
297,Hariyama,Fighting,,144,120,60,50
298,Azurill,Normal,Fairy,50,20,40,20
299,Nosepass,Rock,,30,45,135,30
300,Skitty,Normal,,50,45,45,50
301,Delcatty,Normal,,70,65,65,70
302,Sableye,Dark,Ghost,50,75,75,50
302,SableyeMega Sableye,Dark,Ghost,50,85,125,20
303,Mawile,Steel,Fairy,50,85,85,50
303,MawileMega Mawile,Steel,Fairy,50,105,125,50
304,Aron,Steel,Rock,50,70,100,30
305,Lairon,Steel,Rock,60,90,140,40
306,Aggron,Steel,Rock,70,110,180,50
306,AggronMega Aggron,Steel,,70,140,230,50
307,Meditite,Fighting,Psychic,30,40,55,60
308,Medicham,Fighting,Psychic,60,60,75,80
308,MedichamMega Medicham,Fighting,Psychic,60,100,85,100
309,Electrike,Electric,,40,45,40,65
310,Manectric,Electric,,70,75,60,105
310,ManectricMega Manectric,Electric,,70,75,80,135
311,Plusle,Electric,,60,50,40,95
312,Minun,Electric,,60,40,50,95
313,Volbeat,Bug,,65,73,55,85
314,Illumise,Bug,,65,47,55,85
315,Roselia,Grass,Poison,50,60,45,65
316,Gulpin,Poison,,70,43,53,40
317,Swalot,Poison,,100,73,83,55
318,Carvanha,Water,Dark,45,90,20,65
319,Sharpedo,Water,Dark,70,120,40,95
319,SharpedoMega Sharpedo,Water,Dark,70,140,70,105
320,Wailmer,Water,,130,70,35,60
321,Wailord,Water,,170,90,45,60
322,Numel,Fire,Ground,60,60,40,35
323,Camerupt,Fire,Ground,70,100,70,40
323,CameruptMega Camerupt,Fire,Ground,70,120,100,20
324,Torkoal,Fire,,70,85,140,20
325,Spoink,Psychic,,60,25,35,60
326,Grumpig,Psychic,,80,45,65,80
327,Spinda,Normal,,60,60,60,60
328,Trapinch,Ground,,45,100,45,10
329,Vibrava,Ground,Dragon,50,70,50,70
330,Flygon,Ground,Dragon,80,100,80,100
331,Cacnea,Grass,,50,85,40,35
332,Cacturne,Grass,Dark,70,115,60,55
333,Swablu,Normal,Flying,45,40,60,50
334,Altaria,Dragon,Flying,75,70,90,80
334,AltariaMega Altaria,Dragon,Fairy,75,110,110,80
335,Zangoose,Normal,,73,115,60,90
336,Seviper,Poison,,73,100,60,65
337,Lunatone,Rock,Psychic,70,55,65,70
338,Solrock,Rock,Psychic,70,95,85,70
339,Barboach,Water,Ground,50,48,43,60
340,Whiscash,Water,Ground,110,78,73,60
341,Corphish,Water,,43,80,65,35
342,Crawdaunt,Water,Dark,63,120,85,55
343,Baltoy,Ground,Psychic,40,40,55,55
344,Claydol,Ground,Psychic,60,70,105,75
345,Lileep,Rock,Grass,66,41,77,23
346,Cradily,Rock,Grass,86,81,97,43
347,Anorith,Rock,Bug,45,95,50,75
348,Armaldo,Rock,Bug,75,125,100,45
349,Feebas,Water,,20,15,20,80
350,Milotic,Water,,95,60,79,81
351,Castform,Normal,,70,70,70,70
352,Kecleon,Normal,,60,90,70,40
353,Shuppet,Ghost,,44,75,35,45
354,Banette,Ghost,,64,115,65,65
354,BanetteMega Banette,Ghost,,64,165,75,75
355,Duskull,Ghost,,20,40,90,25
356,Dusclops,Ghost,,40,70,130,25
357,Tropius,Grass,Flying,99,68,83,51
358,Chimecho,Psychic,,65,50,70,65
359,Absol,Dark,,65,130,60,75
359,AbsolMega Absol,Dark,,65,150,60,115
360,Wynaut,Psychic,,95,23,48,23
361,Snorunt,Ice,,50,50,50,50
362,Glalie,Ice,,80,80,80,80
362,GlalieMega Glalie,Ice,,80,120,80,100
363,Spheal,Ice,Water,70,40,50,25
364,Sealeo,Ice,Water,90,60,70,45
365,Walrein,Ice,Water,110,80,90,65
366,Clamperl,Water,,35,64,85,32
367,Huntail,Water,,55,104,105,52
368,Gorebyss,Water,,55,84,105,52
369,Relicanth,Water,Rock,100,90,130,55
370,Luvdisc,Water,,43,30,55,97
371,Bagon,Dragon,,45,75,60,50
372,Shelgon,Dragon,,65,95,100,50
373,Salamence,Dragon,Flying,95,135,80,100
373,SalamenceMega Salamence,Dragon,Flying,95,145,130,120
374,Beldum,Steel,Psychic,40,55,80,30
375,Metang,Steel,Psychic,60,75,100,50
376,Metagross,Steel,Psychic,80,135,130,70
376,MetagrossMega Metagross,Steel,Psychic,80,145,150,110
377,Regirock,Rock,,80,100,200,50
378,Regice,Ice,,80,50,100,50
379,Registeel,Steel,,80,75,150,50
380,Latias,Dragon,Psychic,80,80,90,110
380,LatiasMega Latias,Dragon,Psychic,80,100,120,110
381,Latios,Dragon,Psychic,80,90,80,110
381,LatiosMega Latios,Dragon,Psychic,80,130,100,110
382,Kyogre,Water,,100,100,90,90
382,KyogrePrimal Kyogre,Water,,100,150,90,90
383,Groudon,Ground,,100,150,140,90
383,GroudonPrimal Groudon,Ground,Fire,100,180,160,90
384,Rayquaza,Dragon,Flying,105,150,90,95
384,RayquazaMega Rayquaza,Dragon,Flying,105,180,100,115
385,Jirachi,Steel,Psychic,100,100,100,100
386,DeoxysNormal Forme,Psychic,,50,150,50,150
386,DeoxysAttack Forme,Psychic,,50,180,20,150
386,DeoxysDefense Forme,Psychic,,50,70,160,90
386,DeoxysSpeed Forme,Psychic,,50,95,90,180
387,Turtwig,Grass,,55,68,64,31
388,Grotle,Grass,,75,89,85,36
389,Torterra,Grass,Ground,95,109,105,56
390,Chimchar,Fire,,44,58,44,61
391,Monferno,Fire,Fighting,64,78,52,81
392,Infernape,Fire,Fighting,76,104,71,108
393,Piplup,Water,,53,51,53,40
394,Prinplup,Water,,64,66,68,50
395,Empoleon,Water,Steel,84,86,88,60
396,Starly,Normal,Flying,40,55,30,60
397,Staravia,Normal,Flying,55,75,50,80
398,Staraptor,Normal,Flying,85,120,70,100
399,Bidoof,Normal,,59,45,40,31
400,Bibarel,Normal,Water,79,85,60,71
401,Kricketot,Bug,,37,25,41,25
402,Kricketune,Bug,,77,85,51,65
403,Shinx,Electric,,45,65,34,45
404,Luxio,Electric,,60,85,49,60
405,Luxray,Electric,,80,120,79,70
406,Budew,Grass,Poison,40,30,35,55
407,Roserade,Grass,Poison,60,70,65,90
408,Cranidos,Rock,,67,125,40,58
409,Rampardos,Rock,,97,165,60,58
410,Shieldon,Rock,Steel,30,42,118,30
411,Bastiodon,Rock,Steel,60,52,168,30
412,Burmy,Bug,,40,29,45,36
413,WormadamPlant Cloak,Bug,Grass,60,59,85,36
413,WormadamSandy Cloak,Bug,Ground,60,79,105,36
413,WormadamTrash Cloak,Bug,Steel,60,69,95,36
414,Mothim,Bug,Flying,70,94,50,66
415,Combee,Bug,Flying,30,30,42,70
416,Vespiquen,Bug,Flying,70,80,102,40
417,Pachirisu,Electric,,60,45,70,95
418,Buizel,Water,,55,65,35,85
419,Floatzel,Water,,85,105,55,115
420,Cherubi,Grass,,45,35,45,35
421,Cherrim,Grass,,70,60,70,85
422,Shellos,Water,,76,48,48,34
423,Gastrodon,Water,Ground,111,83,68,39
424,Ambipom,Normal,,75,100,66,115
425,Drifloon,Ghost,Flying,90,50,34,70
426,Drifblim,Ghost,Flying,150,80,44,80
427,Buneary,Normal,,55,66,44,85
428,Lopunny,Normal,,65,76,84,105
428,LopunnyMega Lopunny,Normal,Fighting,65,136,94,135
429,Mismagius,Ghost,,60,60,60,105
430,Honchkrow,Dark,Flying,100,125,52,71
431,Glameow,Normal,,49,55,42,85
432,Purugly,Normal,,71,82,64,112
433,Chingling,Psychic,,45,30,50,45
434,Stunky,Poison,Dark,63,63,47,74
435,Skuntank,Poison,Dark,103,93,67,84
436,Bronzor,Steel,Psychic,57,24,86,23
437,Bronzong,Steel,Psychic,67,89,116,33
438,Bonsly,Rock,,50,80,95,10
439,Mime Jr.,Psychic,Fairy,20,25,45,60
440,Happiny,Normal,,100,5,5,30
441,Chatot,Normal,Flying,76,65,45,91
442,Spiritomb,Ghost,Dark,50,92,108,35
443,Gible,Dragon,Ground,58,70,45,42
444,Gabite,Dragon,Ground,68,90,65,82
445,Garchomp,Dragon,Ground,108,130,95,102
445,GarchompMega Garchomp,Dragon,Ground,108,170,115,92
446,Munchlax,Normal,,135,85,40,5
447,Riolu,Fighting,,40,70,40,60
448,Lucario,Fighting,Steel,70,110,70,90
448,LucarioMega Lucario,Fighting,Steel,70,145,88,112
449,Hippopotas,Ground,,68,72,78,32
450,Hippowdon,Ground,,108,112,118,47
451,Skorupi,Poison,Bug,40,50,90,65
452,Drapion,Poison,Dark,70,90,110,95
453,Croagunk,Poison,Fighting,48,61,40,50
454,Toxicroak,Poison,Fighting,83,106,65,85
455,Carnivine,Grass,,74,100,72,46
456,Finneon,Water,,49,49,56,66
457,Lumineon,Water,,69,69,76,91
458,Mantyke,Water,Flying,45,20,50,50
459,Snover,Grass,Ice,60,62,50,40
460,Abomasnow,Grass,Ice,90,92,75,60
460,AbomasnowMega Abomasnow,Grass,Ice,90,132,105,30
461,Weavile,Dark,Ice,70,120,65,125
462,Magnezone,Electric,Steel,70,70,115,60
463,Lickilicky,Normal,,110,85,95,50
464,Rhyperior,Ground,Rock,115,140,130,40
465,Tangrowth,Grass,,100,100,125,50
466,Electivire,Electric,,75,123,67,95
467,Magmortar,Fire,,75,95,67,83
468,Togekiss,Fairy,Flying,85,50,95,80
469,Yanmega,Bug,Flying,86,76,86,95
470,Leafeon,Grass,,65,110,130,95
471,Glaceon,Ice,,65,60,110,65
472,Gliscor,Ground,Flying,75,95,125,95
473,Mamoswine,Ice,Ground,110,130,80,80
474,Porygon-Z,Normal,,85,80,70,90
475,Gallade,Psychic,Fighting,68,125,65,80
475,GalladeMega Gallade,Psychic,Fighting,68,165,95,110
476,Probopass,Rock,Steel,60,55,145,40
477,Dusknoir,Ghost,,45,100,135,45
478,Froslass,Ice,Ghost,70,80,70,110
479,Rotom,Electric,Ghost,50,50,77,91
479,RotomHeat Rotom,Electric,Fire,50,65,107,86
479,RotomWash Rotom,Electric,Water,50,65,107,86
479,RotomFrost Rotom,Electric,Ice,50,65,107,86
479,RotomFan Rotom,Electric,Flying,50,65,107,86
479,RotomMow Rotom,Electric,Grass,50,65,107,86
480,Uxie,Psychic,,75,75,130,95
481,Mesprit,Psychic,,80,105,105,80
482,Azelf,Psychic,,75,125,70,115
483,Dialga,Steel,Dragon,100,120,120,90
484,Palkia,Water,Dragon,90,120,100,100
485,Heatran,Fire,Steel,91,90,106,77
486,Regigigas,Normal,,110,160,110,100
487,GiratinaAltered Forme,Ghost,Dragon,150,100,120,90
487,GiratinaOrigin Forme,Ghost,Dragon,150,120,100,90
488,Cresselia,Psychic,,120,70,120,85
489,Phione,Water,,80,80,80,80
490,Manaphy,Water,,100,100,100,100
491,Darkrai,Dark,,70,90,90,125
492,ShayminLand Forme,Grass,,100,100,100,100
492,ShayminSky Forme,Grass,Flying,100,103,75,127
493,Arceus,Normal,,120,120,120,120
494,Victini,Psychic,Fire,100,100,100,100
495,Snivy,Grass,,45,45,55,63
496,Servine,Grass,,60,60,75,83
497,Serperior,Grass,,75,75,95,113
498,Tepig,Fire,,65,63,45,45
499,Pignite,Fire,Fighting,90,93,55,55
500,Emboar,Fire,Fighting,110,123,65,65
501,Oshawott,Water,,55,55,45,45
502,Dewott,Water,,75,75,60,60
503,Samurott,Water,,95,100,85,70
504,Patrat,Normal,,45,55,39,42
505,Watchog,Normal,,60,85,69,77
506,Lillipup,Normal,,45,60,45,55
507,Herdier,Normal,,65,80,65,60
508,Stoutland,Normal,,85,110,90,80
509,Purrloin,Dark,,41,50,37,66
510,Liepard,Dark,,64,88,50,106
511,Pansage,Grass,,50,53,48,64
512,Simisage,Grass,,75,98,63,101
513,Pansear,Fire,,50,53,48,64
514,Simisear,Fire,,75,98,63,101
515,Panpour,Water,,50,53,48,64
516,Simipour,Water,,75,98,63,101
517,Munna,Psychic,,76,25,45,24
518,Musharna,Psychic,,116,55,85,29
519,Pidove,Normal,Flying,50,55,50,43
520,Tranquill,Normal,Flying,62,77,62,65
521,Unfezant,Normal,Flying,80,115,80,93
522,Blitzle,Electric,,45,60,32,76
523,Zebstrika,Electric,,75,100,63,116
524,Roggenrola,Rock,,55,75,85,15
525,Boldore,Rock,,70,105,105,20
526,Gigalith,Rock,,85,135,130,25
527,Woobat,Psychic,Flying,55,45,43,72
528,Swoobat,Psychic,Flying,67,57,55,114
529,Drilbur,Ground,,60,85,40,68
530,Excadrill,Ground,Steel,110,135,60,88
531,Audino,Normal,,103,60,86,50
531,AudinoMega Audino,Normal,Fairy,103,60,126,50
532,Timburr,Fighting,,75,80,55,35
533,Gurdurr,Fighting,,85,105,85,40
534,Conkeldurr,Fighting,,105,140,95,45
535,Tympole,Water,,50,50,40,64
536,Palpitoad,Water,Ground,75,65,55,69
537,Seismitoad,Water,Ground,105,95,75,74
538,Throh,Fighting,,120,100,85,45
539,Sawk,Fighting,,75,125,75,85
540,Sewaddle,Bug,Grass,45,53,70,42
541,Swadloon,Bug,Grass,55,63,90,42
542,Leavanny,Bug,Grass,75,103,80,92
543,Venipede,Bug,Poison,30,45,59,57
544,Whirlipede,Bug,Poison,40,55,99,47
545,Scolipede,Bug,Poison,60,100,89,112
546,Cottonee,Grass,Fairy,40,27,60,66
